"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
record_id,radar_integration,,text,"Record ID",,"Redcap ID field (autogenerated by Redcap)",,,,,,,,,,,
integration_warning,radar_integration,,descriptive,"This form is for integration of Redcap with the RADAR-Platform. 
********************************** WARNING **********************************
The fields here are not intended to be edited!",,,,,,,,,,,,,
subject_id,radar_integration,,text,"Participant ID",,"RADAR-platform (generated ID by Radar Platform)",,,,,,,,,,,"Integration Fields"
human_readable_id,radar_integration,,text,"Human Readable ID",,"Human Readable Field (generated by Radar Platform using a composition of [Project Name + Management Portal Project ID + Location + Redcap ID])",,,,,,,,,,,"Integration Fields"
surname,contact_info,,text,Surname,,Surname,,,,y,,,,,,,Surname
name,contact_info,,text,Name,,"First Name (name used on auto generated emails)",,,,y,,y,,,,,"First Name"
pref_name,contact_info,,text,"Preferred Name",,"Name preferred to be used (could be used on Survey auto generated email)",,,,y,,,,,,,"Preferred Name"
email,contact_info,,text,"Email Address",,"email used to distribute surveys to the participants",email,,,y,,y,,,,,
hospital_num,contact_info,,text,"Hospital number",,,,,,,,,,,,,
yob,socio_demographics,"Participant ID: [subject_id]",dropdown,"What is your year of birth?","0, 1999 | 1, 1998 | 2, 1997 | 3, 1996 | 4, 1995 | 5, 1994 | 6, 1993 | 7, 1992 | 8, 1991 | 9, 1990 | 10, 1989 | 11, 1988 | 12, 1987 | 13, 1986 | 14, 1985 | 15, 1984 | 16, 1983 | 17, 1982 | 18, 1981 | 19, 1980 | 20, 1979 | 21, 1978 | 22, 1977 | 23, 1976 | 24, 1975 | 25, 1974 | 26, 1973 | 27, 1972 | 28, 1971 | 29, 1970 | 30, 1969 | 31, 1968 | 32, 1967 | 33, 1966 | 34, 1965 | 35, 1964 | 36, 1963 | 37, 1962 | 38, 1961 | 39, 1960 | 40, 1959 | 41, 1958 | 42, 1957 | 43, 1956 | 44, 1955 | 45, 1954 | 46, 1953 | 47, 1952 | 48, 1951 | 49, 1950 | 50, 1949 | 51, 1948 | 52, 1947 | 53, 1946 | 54, 1945 | 55, 1944 | 56, 1943 | 57, 1942 | 58, 1941 | 59, 1940 | 60, 1939 | 61, 1938 | 62, 1937",,autocomplete,,,,,y,,,,,
